trip,date,location,tyres,temperature_start_c,temperature_end_c,distance_km,duration_minutes,average_speed_kmh,average_consumption_kwhkm,charge_level_start,charge_level_end,ac_c,heated_front_seats_level,mode
15,2021-02-23,Istanbul,Bridgestone 215/45 R20 LM32,8.5,5.5,31,34,54,17.0,81.0,72.0,22,0,ECO
16,2021-02-23,Istanbul,Bridgestone 215/45 R20 LM32,14.0,13.0,32,70,28,13.9,72.0,64.0,OFF,0,ECO
17,2021-02-24,Istanbul,Bridgestone 215/45 R20 LM32,9.5,8.0,31,35,53,17.4,76.0,66.0,22,0,ECO
18,2021-02-24,Istanbul,Bridgestone 215/45 R20 LM32,9.0,10.0,40,90,27,18.4,64.0,,22,0,ECO
19,2021-02-25,Istanbul,Bridgestone 215/45 R20 LM32,11.0,7.5,31,37,51,17.6,81.0,72.0,22,0,ECO
20,2021-02-25,Istanbul,Bridgestone 215/45 R20 LM32,12.0,11.0,31,52,37,14.9,72.0,63.0,OFF,0,ECO
21,2021-02-26,Istanbul,Bridgestone 215/45 R20 LM32,9.0,6.5,31,33,56,18.1,81.0,71.0,22,0,ECO
22,2021-02-26,Istanbul,Bridgestone 215/45 R20 LM32,14.5,15.5,31,34,56,13.2,71.0,63.0,OFF,0,ECO
23,2021-03-01,Istanbul,Bridgestone 215/45 R20 LM32,9.0,5.5,31,43,44,19.1,61.0,50.0,22,1,ECO
24,2021-03-01,Istanbul,Bridgestone 215/45 R20 LM32,9.0,9.5,31,41,46,15.1,50.0,40.0,OFF,0,ECO
25,2021-03-02,Istanbul,Bridgestone 215/45 R20 LM32,10.5,5.5,31,38,49,15.1,81.0,73.0,OFF,1,ECO
26,2021-03-02,Istanbul,Bridgestone 215/45 R20 LM32,6.0,7.0,36,164,14,30.3,73.0,52.0,22,1,ECO
27,2021-03-03,Istanbul,Bridgestone 215/45 R20 LM32,8.5,4.5,31,36,51,17.0,81.0,72.0,22,2,ECO
28,2021-03-03,Istanbul,Bridgestone 215/45 R20 LM32,9.0,9.5,38,94,25,19.0,72.0,58.0,22,0,ECO
29,2021-03-04,Istanbul,Bridgestone 215/45 R20 LM32,8.5,5.0,31,34,55,14.1,81.0,74.0,OFF,0,ECO
30,2021-03-04,Istanbul,Bridgestone 215/45 R20 LM32,11.5,11.0,33,80,25,15.1,74.0,65.0,OFF,0,ECO
31,2021-03-05,Istanbul,Bridgestone 215/45 R20 LM32,10.5,,31,35,54,17.6,81.0,71.0,22,0,ECO
32,2021-03-05,Istanbul,Bridgestone 215/45 R20 LM32,16.0,16.5,32,34,56,13.4,71.0,63.0,22,0,ECO
33,2021-03-08,Istanbul,Bridgestone 215/45 R20 LM32,10.5,4.0,31,45,43,17.2,81.0,72.0,22,0,ECO
34,2021-03-08,Istanbul,Bridgestone 215/45 R20 LM32,,9.0,26,45,36,17.0,70.0,61.0,OFF,0,ECO
35,2021-03-08,Istanbul,Bridgestone 215/45 R20 LM32,9.0,9.0,12,37,21,17.2,61.0,56.0,22,2,ECO
36,2021-03-09,Istanbul,Bridgestone 215/45 R20 LM32,10.0,7.5,31,38,50,16.9,55.0,45.0,22,0,ECO
37,2021-03-09,Istanbul,Bridgestone 215/45 R20 LM32,11.0,11.0,29,59,30,15.2,39.0,31.0,OFF,0,ECO
38,2021-03-10,Istanbul,Bridgestone 215/45 R20 LM32,11.0,8.5,31,37,51,14.4,81.0,73.0,OFF,0,ECO
39,2021-03-10,Istanbul,Bridgestone 215/45 R20 LM32,12.0,,21,42,30,18.7,73.0,66.0,OFF,0,ECO
40,2021-03-10,Istanbul,Bridgestone 215/45 R20 LM32,15.0,10.0,19,49,23,16.7,66.0,60.0,OFF,0,ECO
41,2021-03-11,Istanbul,Bridgestone 215/45 R20 LM32,12.0,7.0,31,43,43,15.9,81.0,72.0,OFF,1,ECO
42,2021-03-12,Istanbul,Bridgestone 215/45 R20 LM32,11.0,5.5,31,32,58,16.9,81.0,72.0,22,0,ECO
43,2021-03-15,Istanbul,Bridgestone 215/45 R20 LM32,12.5,13.0,31,37,50,13.6,81.0,74.0,OFF,0,ECO
44,2021-03-15,Istanbul,Bridgestone 215/45 R20 LM32,18.5,18.0,31,49,39,14.6,74.0,66.0,OFF,0,ECO
45,2021-03-16,Istanbul,Bridgestone 215/45 R20 LM32,12.5,12.0,31,36,51,14.3,81.0,73.0,OFF,0,ECO
46,2021-03-16,Istanbul,Bridgestone 215/45 R20 LM32,11.0,12.5,32,56,35,14.5,73.0,66.0,OFF,0,ECO
47,2021-03-17,Istanbul,Bridgestone 215/45 R20 LM32,11.5,12.5,31,38,49,18.5,81.0,71.0,22,0,ECO
48,2021-03-17,Istanbul,Bridgestone 215/45 R20 LM32,,9.0,31,41,46,18.7,,60.0,22,0,ECO
49,2021-03-18,Istanbul,Bridgestone 215/45 R20 LM32,11.5,7.5,31,36,52,14.6,81.0,73.0,OFF,0,ECO
50,2021-03-18,Istanbul,Bridgestone 215/45 R20 LM32,10.0,10.5,31,52,37,14.3,73.0,65.0,OFF,0,ECO
51,2021-03-22,Istanbul,Bridgestone 215/45 R20 LM32,11.5,9.0,31,37,51,13.6,81.0,73.0,OFF,0,ECO
52,2021-03-22,Istanbul,Bridgestone 215/45 R20 LM32,7.0,9.0,32,62,31,21.7,73.0,60.0,22,1,ECO
53,2021-03-23,Istanbul,Bridgestone 215/45 R20 LM32,12.0,6.5,31,37,51,17.3,81.0,72.0,22,0,ECO
54,2021-03-23,Istanbul,Bridgestone 215/45 R20 LM32,5.5,8.0,32,46,42,21.7,72.0,59.0,22,1,ECO
55,2021-03-24,Istanbul,Bridgestone 215/45 R20 LM32,12.0,3.0,31,33,56,19.6,81.0,70.0,22,0,ECO
56,2021-03-24,Istanbul,Bridgestone 215/45 R20 LM32,5.0,7.0,31,36,53,20.4,70.0,58.0,22,0,ECO
57,2021-03-25,Istanbul,Bridgestone 215/45 R20 LM32,11.5,3.5,31,31,59,18.0,81.0,72.0,22,0,ECO
58,2021-03-25,Istanbul,Bridgestone 215/45 R20 LM32,7.5,9.0,26,45,34,19.5,71.0,62.0,22,0,ECO
59,2021-03-25,Istanbul,Bridgestone 215/45 R20 LM32,11.0,7.0,12,29,25,16.0,62.0,,22,0,ECO
60,2021-03-26,Istanbul,Bridgestone 215/45 R20 LM32,11.0,6.0,31,31,59,17.2,81.0,72.0,22,0,ECO
61,2021-03-26,Istanbul,Bridgestone 215/45 R20 LM32,9.0,10.5,28,54,32,18.5,72.0,62.0,22,0,ECO
62,2021-03-27,Istanbul,Bridgestone 215/45 R20 LM32,11.0,4.5,18,17,64,22.2,62.0,55.0,22,0,COMFORT
63,2021-03-27,Istanbul,Bridgestone 215/45 R20 LM32,12.5,11.5,17,31,32,16.8,55.0,48.0,OFF,0,COMFORT
64,2021-03-29,Istanbul,Bridgestone 215/45 R20 LM32,12.0,9.5,31,41,46,14.5,81.0,72.0,OFF,1,COMFORT
65,2021-03-29,Istanbul,Bridgestone 215/45 R20 LM32,13.0,11.0,21,40,32,16.5,72.0,66.0,OFF,0,ECO
66,2021-03-29,Istanbul,Bridgestone 215/45 R20 LM32,15.0,10.5,19,43,27,16.8,66.0,59.0,OFF,0,ECO
67,2021-03-30,Istanbul,Bridgestone 215/45 R20 LM32,12.0,8.5,46,76,37,18.3,81.0,66.0,22,0,ECO
68,2021-03-30,Istanbul,Bridgestone 215/45 R20 LM32,8.5,9.5,31,39,48,16.0,66.0,56.0,OFF,0,ECO
69,2021-04-01,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,12.0,7.0,9,17,34,16.8,39.0,36.0,OFF,0,ECO
70,2021-04-01,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,11.0,11.5,7,15,29,11.4,36.0,34.0,OFF,0,ECO
71,2021-04-02,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,11.5,9.5,9,16,36,17.9,81.0,78.0,OFF,0,ECO
72,2021-04-02,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,15.5,15.0,6,16,25,9.4,77.0,76.0,OFF,0,ECO
73,2021-04-05,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,12.5,7.5,31,40,47,14.7,76.0,68.0,OFF,0,ECO
74,2021-04-05,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,9.0,10.5,28,64,27,14.2,68.0,61.0,OFF,0,ECO
75,2021-04-06,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,12.5,10.5,31,36,52,13.7,81.0,73.0,OFF,0,ECO
76,2021-04-06,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,20.5,19.5,11,19,37,11.0,73.0,71.0,OFF,0,ECO
77,2021-04-06,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,20.0,17.5,25,26,58,13.5,71.0,65.0,OFF,0,ECO
78,2021-04-07,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,13.5,16.0,31,31,60,13.4,81.0,74.0,OFF,0,ECO
79,2021-04-07,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,21.0,20.5,31,52,37,12.1,74.0,67.0,OFF,0,ECO
80,2021-04-08,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,13.5,5.5,31,36,52,15.8,81.0,72.0,OFF,2,ECO
81,2021-04-08,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,6.0,7.5,31,54,36,22.8,72.0,59.0,22,1,ECO
82,2021-04-11,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,12.5,13.0,2,7,25,13.3,81.0,81.0,OFF,0,ECO
83,2021-04-11,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,16.5,13.0,3,5,33,15.5,81.0,80.0,OFF,0,ECO
84,2021-04-12,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,12.5,9.0,17,49,22,13.6,80.0,75.0,OFF,0,ECO
85,2021-04-12,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,11.0,13.0,17,39,27,15.5,75.0,70.0,OFF,0,ECO
86,2021-04-13,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,13.0,7.0,17,30,35,13.5,70.0,66.0,OFF,0,ECO
87,2021-04-13,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,11.5,18.5,17,37,29,16.1,66.0,60.0,OFF,0,ECO
88,2021-04-14,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,13.5,11.0,17,21,49,15.1,61.0,55.0,OFF,1,ECO
89,2021-04-14,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,13.0,19.5,18,63,17,16.1,56.0,49.0,OFF,0,ECO
90,2021-04-15,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,13.5,9.5,17,19,57,14.5,81.0,77.0,OFF,0,ECO
91,2021-04-15,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,13.0,15.0,11,16,43,21.7,77.0,72.0,OFF,0,COMFORT
92,2021-04-15,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,18.0,12.0,15,67,14,13.2,72.0,68.0,OFF,0,ECO
93,2021-04-16,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,17.0,9.5,17,20,53,15.9,69.0,63.0,22,1,ECO
94,2021-04-16,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,13.0,13.5,18,58,19,17.1,63.0,57.0,OFF,0,ECO
95,2021-04-17,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,14.0,12.0,8,13,39,22.0,58.0,54.0,OFF,0,ECO
96,2021-04-17,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,13.0,13.0,8,16,32,12.5,54.0,50.0,OFF,0,ECO
97,2021-04-19,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,14.0,10.5,17,29,36,14.2,51.0,46.0,OFF,1,ECO
98,2021-04-19,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,13.0,14.0,18,150,7,21.4,46.0,39.0,OFF,1,ECO
99,2021-04-20,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,14.0,11.5,17,19,55,13.1,81.0,77.0,OFF,1,ECO
100,2021-04-20,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,16.5,17.0,18,53,21,16.4,77.0,71.0,OFF,1,ECO
101,2021-04-21,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,14.5,8.0,17,19,55,13.7,72.0,67.0,OFF,2,ECO
102,2021-04-21,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,14.0,18.5,10,35,18,22.5,63.0,67.0,OFF,0,ECO
103,2021-04-21,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,16.0,16.0,13,26,30,9.3,63.0,60.0,OFF,0,ECO
104,2021-04-22,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,14.0,9.0,17,19,56,13.6,60.0,55.0,OFF,1,ECO
105,2021-04-22,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,15.0,19.5,23,101,14,16.8,56.0,47.0,OFF,0,ECO
106,2021-04-26,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,14.5,10.5,17,23,46,13.5,48.0,43.0,OFF,0,ECO
107,2021-04-26,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,14.5,18.0,18,48,23,15.3,44.0,38.0,OFF,0,ECO
108,2021-04-28,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,15.5,18.5,7,48,9,18.4,38.0,36.0,OFF,1,ECO
109,2021-04-29,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,15.0,20.0,6,23,17,15.0,81.0,79.0,OFF,0,ECO
110,2021-05-17,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,17.0,16.5,17,28,37,13.5,80.0,76.0,OFF,0,ECO
111,2021-05-17,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,23.5,24.0,16,42,24,15.4,73.0,68.0,OFF,0,ECO
112,2021-05-18,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,18.0,20.0,17,29,36,12.7,68.0,65.0,OFF,1,ECO
113,2021-05-18,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,16.5,19.0,18,61,18,15.0,64.0,59.0,OFF,0,ECO
114,2021-05-20,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,18.0,16.5,17,21,50,12.7,59.0,54.0,OFF,0,ECO
115,2021-05-21,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,17.5,16.5,18,39,29,15.1,45.0,39.0,OFF,0,ECO
116,2021-05-24,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,18.0,16.0,17,41,26,13.0,69.0,65.0,OFF,1,ECO
117,2021-05-24,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,,26.0,18,50,22,16.3,,60.0,22,0,ECO
118,2021-05-25,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,18.5,17.5,17,25,43,12.3,60.0,55.0,OFF,1,ECO
119,2021-05-25,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,18.0,21.5,18,67,17,17.6,55.0,48.0,OFF,0,ECO
120,2021-05-26,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,18.5,17.0,17,22,49,12.5,48.0,44.0,OFF,0,ECO
121,2021-05-26,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,18.5,21.5,18,52,21,15.9,45.0,39.0,OFF,0,ECO
122,2021-05-26,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,,23.5,8,55,9,15.7,39.0,37.0,OFF,0,ECO
123,2021-05-27,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,19.0,18.0,17,22,48,13.0,81.0,76.0,OFF,1,ECO
124,2021-05-27,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,18.5,20.5,29,64,28,12.6,77.0,70.0,OFF,0,ECO
125,2021-05-28,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,19.0,18.0,17,24,43,12.3,70.0,66.0,OFF,0,ECO
126,2021-05-28,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,18.5,22.5,18,54,21,15.6,66.0,60.0,OFF,0,ECO
127,2021-05-31,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,18.5,18.0,17,28,37,12.2,61.0,56.0,OFF,0,ECO
128,2021-05-31,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,18.5,19.5,18,34,33,13.5,56.0,51.0,OFF,0,ECO
129,2021-06-01,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,19.0,14.5,17,34,31,13.7,51.0,46.0,OFF,2,ECO
130,2021-06-01,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,18.0,20.0,18,63,18,15.3,46.0,41.0,OFF,0,ECO
131,2021-06-02,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,18.5,14.5,17,25,43,12.4,81.0,77.0,OFF,0,ECO
132,2021-06-02,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,19.0,16.5,28,36,47,15.6,78.0,70.0,OFF,0,ECO
133,2021-06-02,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,17.5,18.0,24,42,35,11.9,70.0,64.0,OFF,0,ECO
134,2021-06-02,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,19.5,17.5,18,39,28,14.9,64.0,59.0,OFF,0,ECO
135,2021-06-03,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,18.5,14.0,17,22,47,14.4,59.0,54.0,OFF,0,ECO
136,2021-06-03,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,17.5,18.0,18,49,23,14.8,54.0,47.0,OFF,0,ECO
137,2021-06-04,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,18.5,14.5,17,21,51,11.6,48.0,45.0,OFF,0,ECO
138,2021-06-04,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,21.0,22.0,9,49,11,15.8,40.0,37.0,OFF,0,ECO
139,2021-06-07,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,18.5,18.5,17,47,23,12.5,81.0,76.0,OFF,0,ECO
140,2021-06-07,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,19.0,21.0,18,20,54,15.1,76.0,71.0,OFF,0,ECO
141,2021-06-08,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,18.5,19.5,17,27,39,12.6,71.0,67.0,OFF,0,ECO
142,2021-06-08,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,19.5,24.0,23,65,22,14.6,67.0,61.0,OFF,0,ECO
143,2021-06-09,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,19.0,16.5,17,24,44,12.4,61.0,56.0,OFF,0,ECO
144,2021-06-09,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,17.0,21.0,18,39,28,15.1,55.0,50.0,OFF,0,ECO
145,2021-06-10,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,19.5,18.0,17,23,45,11.0,50.0,46.0,OFF,0,ECO
146,2021-06-10,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,20.0,26.5,18,48,23,13.9,46.0,42.0,OFF,0,ECO
147,2021-06-11,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,19.5,19.0,17,24,44,11.6,42.0,37.0,OFF,0,ECO
148,2021-06-12,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,21.5,23.0,11,14,51,10.4,35.0,32.0,OFF,0,ECO
149,2021-06-14,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,19.0,18.0,17,42,25,12.7,81.0,76.0,OFF,0,ECO
150,2021-06-14,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,20.0,20.0,18,38,29,13.5,76.0,71.0,OFF,0,ECO
151,2021-06-15,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,19.5,15.0,17,39,28,13.3,72.0,67.0,OFF,0,ECO
152,2021-06-16,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,19.5,16.5,17,28,39,12.7,55.0,49.0,OFF,2,ECO
153,2021-06-16,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,19.5,20.0,18,49,23,15.2,50.0,45.0,OFF,0,ECO
154,2021-06-17,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,19.5,16.0,17,25,42,12.2,45.0,40.0,OFF,0,ECO
155,2021-06-17,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,20.0,24.5,18,42,26,13.5,41.0,36.0,OFF,0,ECO
156,2021-06-18,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,19.5,19.0,17,23,46,11.9,37.0,32.0,OFF,0,ECO
157,2021-06-18,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,20.5,19.0,18,45,25,15.6,33.0,27.0,OFF,0,ECO
158,2021-06-21,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,19.5,19.5,17,33,32,12.9,80.0,76.0,OFF,0,ECO
159,2021-06-22,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,19.5,18.0,17,23,46,12.0,72.0,67.0,OFF,0,ECO
160,2021-07-05,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,22.5,23.5,17,43,25,11.9,81.0,76.0,OFF,0,ECO
161,2021-07-05,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,23.5,29.0,18,46,24,17.3,77.0,71.0,22,0,ECO
162,2021-07-06,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,22.0,20.5,17,34,31,12.9,71.0,66.0,OFF,0,ECO
163,2021-07-07,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,22.0,22.5,17,28,38,11.9,62.0,58.0,OFF,0,ECO
164,2021-07-07,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,24.0,24.5,23,73,20,17.5,58.0,50.0,22,0,ECO
165,2021-07-08,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,22.5,23.0,17,25,43,12.6,67.0,62.0,OFF,0,ECO
166,2021-07-08,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,24.5,26.5,18,37,30,14.5,63.0,57.0,OFF,0,ECO
167,2021-07-09,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,22.5,24.0,17,25,42,12.3,53.0,48.0,OFF,0,ECO
168,2021-07-09,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,24.5,29.0,18,32,35,16.4,49.0,44.0,22,0,ECO
169,2021-07-12,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,22.5,23.5,10,17,38,13.5,72.0,69.0,22,0,ECO
170,2021-07-12,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,24.5,24.0,17,45,24,14.7,69.0,64.0,22,0,ECO
171,2021-07-12,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,25.0,28.5,18,36,31,16.5,65.0,59.0,22,0,ECO
172,2021-07-26,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,23.0,23.5,17,26,40,13.6,81.0,77.0,OFF,0,ECO
173,2021-07-26,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,26.0,28.0,46,84,33,15.5,77.0,63.0,21,0,ECO
174,2021-07-27,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,,22.0,17,22,49,11.5,,60.0,OFF,0,ECO
175,2021-07-27,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,26.0,28.5,21,45,29,17.4,60.0,52.0,21,0,ECO
176,2021-07-28,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,23.5,23.5,17,22,48,11.6,52.0,47.0,OFF,0,ECO
177,2021-07-28,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,26.0,29.5,18,32,35,16.9,47.0,43.0,22,0,ECO
178,2021-07-29,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,23.5,24.0,17,23,46,11.5,43.0,38.0,OFF,0,ECO
179,2021-07-29,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,26.0,31.5,18,32,34,15.7,38.0,33.0,22,0,ECO
180,2021-07-30,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,23.5,22.5,17,31,34,12.4,34.0,29.0,OFF,0,ECO
181,2021-07-30,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,,32.5,18,33,33,17.8,,21.0,21,0,ECO
182,2021-07-30,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,32.5,35.5,7,19,22,17.4,27.0,26.0,21,0,ECO
183,2021-08-02,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,23.5,22.5,17,36,30,12.0,81.0,77.0,OFF,0,ECO
184,2021-08-02,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,26.5,32.0,18,36,31,14.6,77.0,72.0,21,0,ECO
185,2021-08-03,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,24.5,24.0,17,23,46,10.8,67.0,63.0,OFF,0,ECO
186,2021-08-03,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,27.0,29.5,18,35,32,15.0,63.0,58.0,21,0,ECO
187,2021-08-04,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,24.5,24.5,17,23,47,10.6,58.0,53.0,OFF,0,ECO
188,2021-08-04,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,27.0,31.0,30,47,39,14.2,47.0,40.0,21,0,ECO
189,2021-08-05,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,24.5,25.5,17,29,37,12.0,41.0,36.0,22,0,ECO
190,2021-08-05,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,27.0,33.5,23,27,52,14.7,37.0,30.0,22,0,ECO
191,2021-08-06,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,25.0,23.5,17,25,42,11.9,23.0,18.0,OFF,0,ECO
192,2021-08-24,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,24.5,23.5,17,29,37,12.8,41.0,35.0,OFF,0,ECO
193,2021-08-24,Istanbul,Goodyear EfficientGrip Performance 215/45 R20,26.0,27.5,18,52,21,17.8,35.0,30.0,22,0,ECO
